name,people to move,x,y
MELIA SYNI BIYCh,0.0,27.7139182,42.6883305
HOTELSKI KOMPLEKS SOL NESEBYR RIZORT,0.0,27.720559299999998,42.6601365
MELIA GRAND ERMITAJ,81.0,28.0406391,43.285571000000004
FREGATA,86.0,28.051244899999997,43.343346600000004
SERENA REZIDENS,0.0,27.6961748,42.417262799999996
GLORIYa,0.0,27.914733299999998,43.2140504
ALEKSANDRA,0.0,27.758754200000002,42.7134032
HOTEL ZOO SOFIYa,0.0,23.3218675,42.69770820000001
RAHOVEC,0.0,25.6896757,43.1208016
ZELENIYaT HYLM,0.0,25.6344644,42.425776899999995
